0s,4s,6s,bowlerName,bowlingTeam,economy,maiden,match,noBalls,overs,runs,wickets,wides,scorecard
7,0,0,Maheesh Theekshana,Sri Lanka,5 75,0,Namibia Vs Sri Lanka,0,4,23,1,2,T20I   1823
6,3,1,Dushmantha Chameera,Sri Lanka,9 75,0,Namibia Vs Sri Lanka,0,4,39,1,2,T20I   1823
6,3,1,Pramod Madushan,Sri Lanka,9 25,0,Namibia Vs Sri Lanka,0,4,37,2,0,T20I   1823
7,3,1,Chamika Karunaratne,Sri Lanka,9 00,0,Namibia Vs Sri Lanka,0,4,36,1,1,T20I   1823
8,1,1,Wanindu Hasaranga de Silva,Sri Lanka,6 75,0,Namibia Vs Sri Lanka,0,4,27,1,0,T20I   1823
1,1,0,Gerhard Erasmus,Namibia,8 00,0,Namibia Vs Sri Lanka,0,1,8,0,0,T20I   1823
13,1,0,David Wiese,Namibia,4 00,0,Namibia Vs Sri Lanka,0,4,16,2,0,T20I   1823
10,1,0,Bernard Scholtz,Namibia,4 50,0,Namibia Vs Sri Lanka,0,4,18,2,0,T20I   1823
6,3,0,Ben Shikongo,Namibia,7 33,1,Namibia Vs Sri Lanka,0,3,22,2,0,T20I   1823
7,0,0,JJ Smit,Namibia,5 33,0,Namibia Vs Sri Lanka,0,3,16,1,1,T20I   1823
10,0,2,Jan Frylinck,Namibia,6 50,0,Namibia Vs Sri Lanka,0,4,26,2,1,T20I   1823
18,0,0,Fred Klaassen,Netherlands,3 25,0,U A E  Vs Netherlands,0,4,13,2,3,T20I   1825
11,0,0,Tim Pringle,Netherlands,3 25,0,U A E  Vs Netherlands,0,4,13,1,0,T20I   1825
5,0,2,Logan van Beek,Netherlands,9 50,0,U A E  Vs Netherlands,0,2,19,0,1,T20I   1825
9,2,0,Bas de Leede,Netherlands,6 33,0,U A E  Vs Netherlands,0,3,19,3,2,T20I   1825
11,1,0,Paul van Meekeren,Netherlands,5 25,0,U A E  Vs Netherlands,0,4,21,0,0,T20I   1825
7,0,1,Roelof van der Merwe,Netherlands,6 33,0,U A E  Vs Netherlands,0,3,19,1,0,T20I   1825
10,2,0,Junaid Siddique,U A E ,6 00,0,U A E  Vs Netherlands,0,4,24,3,1,T20I   1825
4,0,1,Basil Hameed,U A E ,7 00,0,U A E  Vs Netherlands,0,1,7,1,0,T20I   1825
8,1,0,Aayan Afzal Khan,U A E ,5 00,0,U A E  Vs Netherlands,0,3,15,1,0,T20I   1825
11,2,0,Karthik Meiyappan,U A E ,5 50,0,U A E  Vs Netherlands,0,4,22,1,0,T20I   1825
14,0,0,Zahoor Khan,U A E ,2 75,0,U A E  Vs Netherlands,0,4,11,1,0,T20I   1825
2,2,0,Zawar Farid,U A E ,8 47,0,U A E  Vs Netherlands,0,2 5,24,0,0,T20I   1825
1,0,0,Kashif Daud,U A E ,5 00,0,U A E  Vs Netherlands,0,1,5,0,0,T20I   1825
5,5,0,Kyle Mayers,West Indies,12 00,0,Scotland Vs West Indies,0,2,24,0,2,T20I   1826
8,2,1,Akeal Hosein,West Indies,7 75,0,Scotland Vs West Indies,0,4,31,0,0,T20I   1826
9,3,0,Alzarri Joseph,West Indies,7 00,0,Scotland Vs West Indies,0,4,28,2,2,T20I   1826
6,4,0,Obed McCoy,West Indies,8 33,0,Scotland Vs West Indies,0,3,25,0,0,T20I   1826
8,1,0,Jason Holder,West Indies,4 66,0,Scotland Vs West Indies,0,3,14,2,0,T20I   1826
6,3,0,Odean Smith,West Indies,7 75,0,Scotland Vs West Indies,0,4,31,1,1,T20I   1826
16,1,0,Mark Watt,Scotland,3 00,0,Scotland Vs West Indies,0,4,12,3,1,T20I   1826
10,4,1,Brad Wheal,Scotland,8 00,0,Scotland Vs West Indies,0,4,32,2,0,T20I   1826
8,4,2,Josh Davey,Scotland,11 33,0,Scotland Vs West Indies,0,3,34,1,1,T20I   1826
7,2,0,Safyaan Sharif,Scotland,6 57,0,Scotland Vs West Indies,0,3 3,23,1,2,T20I   1826
11,0,0,Michael Leask,Scotland,3 75,0,Scotland Vs West Indies,0,4,15,2,1,T20I   1826
11,3,0,Josh Little,Ireland,6 00,0,Zimbabwe Vs Ireland,0,4,24,3,0,T20I   1828
6,3,1,Mark Adair,Ireland,9 75,0,Zimbabwe Vs Ireland,0,4,39,2,2,T20I   1828
11,2,0,Barry McCarthy,Ireland,6 00,0,Zimbabwe Vs Ireland,0,4,24,0,2,T20I   1828
6,2,2,Curtis Campher,Ireland,9 66,0,Zimbabwe Vs Ireland,0,3,29,0,0,T20I   1828
5,2,2,Simi Singh,Ireland,10 33,0,Zimbabwe Vs Ireland,0,3,31,2,1,T20I   1828
4,2,1,Gareth Delany,Ireland,10 50,0,Zimbabwe Vs Ireland,0,2,21,0,1,T20I   1828
13,3,0,Richard Ngarava,Zimbabwe,5 50,0,Zimbabwe Vs Ireland,0,4,22,2,0,T20I   1828
13,1,1,Tendai Chatara,Zimbabwe,5 50,0,Zimbabwe Vs Ireland,0,4,22,2,2,T20I   1828
14,0,2,Blessing Muzarabani,Zimbabwe,5 75,0,Zimbabwe Vs Ireland,1,4,23,3,0,T20I   1828
1,4,0,Luke Jongwe,Zimbabwe,12 00,0,Zimbabwe Vs Ireland,0,2,24,0,0,T20I   1828
3,0,0,Sean Williams,Zimbabwe,6 66,0,Zimbabwe Vs Ireland,0,3,20,1,0,T20I   1828
8,1,1,Sikandar Raza,Zimbabwe,7 33,0,Zimbabwe Vs Ireland,0,3,22,1,1,T20I   1828
11,1,0,Fred Klaassen,Netherlands,5 00,0,Namibia Vs Netherlands,0,3,15,0,0,T20I   1830
8,0,0,Tim Pringle,Netherlands,5 00,0,Namibia Vs Netherlands,0,3,15,1,0,T20I   1830
6,1,0,Bas de Leede,Netherlands,6 00,0,Namibia Vs Netherlands,0,3,18,2,0,T20I   1830
8,2,0,Colin Ackermann,Netherlands,5 66,0,Namibia Vs Netherlands,0,3,17,1,0,T20I   1830
11,1,0,Paul van Meekeren,Netherlands,4 50,0,Namibia Vs Netherlands,0,4,18,1,1,T20I   1830
4,1,1,Timm van der Gugten,Netherlands,9 66,0,Namibia Vs Netherlands,0,3,29,0,2,T20I   1830
1,0,0,Roelof van der Merwe,Netherlands,6 00,0,Namibia Vs Netherlands,0,1,6,1,1,T20I   1830
10,0,1,Bernard Scholtz,Namibia,5 25,0,Namibia Vs Netherlands,0,4,21,1,0,T20I   1830
4,3,0,David Wiese,Namibia,8 80,0,Namibia Vs Netherlands,0,2 3,22,0,0,T20I   1830
8,0,0,Gerhard Erasmus,Namibia,4 33,0,Namibia Vs Netherlands,0,3,13,0,1,T20I   1830
1,0,2,Ben Shikongo,Namibia,18 00,0,Namibia Vs Netherlands,0,1,18,0,1,T20I   1830
9,2,0,JJ Smit,Namibia,6 00,0,Namibia Vs Netherlands,0,4,24,2,0,T20I   1830
11,1,0,Jan Frylinck,Namibia,4 00,1,Namibia Vs Netherlands,0,4,16,1,0,T20I   1830
2,1,0,Jan Nicol Loftie Eaton,Namibia,8 00,0,Namibia Vs Netherlands,1,1,8,0,0,T20I   1830
8,2,1,Junaid Siddique,U A E ,9 00,0,Sri Lanka Vs U A E ,0,4,36,0,2,T20I   1832
0,2,0,Kashif Daud,U A E ,14 00,0,Sri Lanka Vs U A E ,0,1,14,0,0,T20I   1832
10,3,0,Zahoor Khan,U A E ,6 50,0,Sri Lanka Vs U A E ,0,4,26,2,0,T20I   1832
7,1,0,Aayan Afzal Khan,U A E ,5 33,0,Sri Lanka Vs U A E ,0,3,16,1,0,T20I   1832
5,3,0,Aryan Lakra,U A E ,8 00,0,Sri Lanka Vs U A E ,0,3,24,1,0,T20I   1832
12,0,1,Karthik Meiyappan,U A E ,4 75,0,Sri Lanka Vs U A E ,0,4,19,3,0,T20I   1832
1,1,1,Basil Hameed,U A E ,13 00,0,Sri Lanka Vs U A E ,0,1,13,0,0,T20I   1832
12,2,0,Pramod Madushan,Sri Lanka,4 66,0,Sri Lanka Vs U A E ,0,3,14,1,1,T20I   1832
10,2,0,Maheesh Theekshana,Sri Lanka,4 73,0,Sri Lanka Vs U A E ,0,3 1,15,2,0,T20I   1832
16,0,1,Dushmantha Chameera,Sri Lanka,3 91,0,Sri Lanka Vs U A E ,0,3 5,15,3,0,T20I   1832
5,2,0,Chamika Karunaratne,Sri Lanka,7 00,0,Sri Lanka Vs U A E ,0,2,14,0,0,T20I   1832
17,0,0,Wanindu Hasaranga de Silva,Sri Lanka,2 00,1,Sri Lanka Vs U A E ,0,4,8,3,0,T20I   1832
3,0,0,Dasun Shanaka,Sri Lanka,6 00,0,Sri Lanka Vs U A E ,0,1 1,7,1,1,T20I   1832
10,2,1,Josh Little,Ireland,7 50,0,Scotland Vs Ireland,0,4,30,1,1,T20I   1833
12,2,0,Mark Adair,Ireland,5 75,0,Scotland Vs Ireland,0,4,23,1,2,T20I   1833
4,6,3,Barry McCarthy,Ireland,14 75,0,Scotland Vs Ireland,1,4,59,0,1,T20I   1833
3,2,1,Gareth Delany,Ireland,9 33,0,Scotland Vs Ireland,0,3,28,0,0,T20I   1833
2,2,0,Simi Singh,Ireland,8 00,0,Scotland Vs Ireland,0,2,16,0,0,T20I   1833
7,1,0,Curtis Campher,Ireland,4 50,0,Scotland Vs Ireland,0,2,9,2,0,T20I   1833
1,1,0,George Dockrell,Ireland,9 00,0,Scotland Vs Ireland,0,1,9,0,0,T20I   1833
10,2,1,Mark Watt,Scotland,9 75,0,Scotland Vs Ireland,0,4,39,1,2,T20I   1833
11,2,1,Brad Wheal,Scotland,6 25,0,Scotland Vs Ireland,0,4,25,1,0,T20I   1833
5,8,0,Josh Davey,Scotland,11 50,0,Scotland Vs Ireland,0,4,46,0,1,T20I   1833
3,4,0,Safyaan Sharif,Scotland,10 66,0,Scotland Vs Ireland,0,3,32,1,1,T20I   1833
1,0,1,Chris Greaves,Scotland,9 00,0,Scotland Vs Ireland,0,2,18,0,1,T20I   1833
2,1,0,Michael Leask,Scotland,8 00,0,Scotland Vs Ireland,0,2,16,1,0,T20I   1833
9,1,1,Richard Ngarava,Zimbabwe,6 66,0,West Indies Vs Zimbabwe,0,3,20,0,1,T20I   1834
5,2,0,Tendai Chatara,Zimbabwe,7 33,0,West Indies Vs Zimbabwe,0,3,22,0,2,T20I   1834
10,2,2,Blessing Muzarabani,Zimbabwe,9 50,0,West Indies Vs Zimbabwe,1,4,38,2,2,T20I   1834
5,3,1,Ryan Burl,Zimbabwe,9 00,0,West Indies Vs Zimbabwe,0,3,27,0,0,T20I   1834
7,0,0,Sikandar Raza,Zimbabwe,4 75,0,West Indies Vs Zimbabwe,0,4,19,3,0,T20I   1834
7,1,0,Sean Williams,Zimbabwe,5 66,0,West Indies Vs Zimbabwe,1,3,17,1,0,T20I   1834
3,3,0,Kyle Mayers,West Indies,17 00,0,West Indies Vs Zimbabwe,0,1,17,0,1,T20I   1834
12,1,1,Akeal Hosein,West Indies,6 25,0,West Indies Vs Zimbabwe,1,4,25,1,1,T20I   1834
16,1,1,Alzarri Joseph,West Indies,4 00,0,West Indies Vs Zimbabwe,0,4,16,4,0,T20I   1834
9,3,0,Obed McCoy,West Indies,6 33,0,West Indies Vs Zimbabwe,0,3,19,1,0,T20I   1834
12,1,0,Jason Holder,West Indies,3 60,0,West Indies Vs Zimbabwe,0,3 2,12,3,0,T20I   1834
8,4,1,Odean Smith,West Indies,10 33,0,West Indies Vs Zimbabwe,1,3,31,1,1,T20I   1834
9,1,2,Fred Klaassen,Netherlands,8 50,0,Sri Lanka Vs Netherlands,0,4,34,1,0,T20I   1835
8,0,2,Tim Pringle,Netherlands,7 33,0,Sri Lanka Vs Netherlands,0,3,22,0,0,T20I   1835
10,2,0,Roelof van der Merwe,Netherlands,5 33,0,Sri Lanka Vs Netherlands,0,3,16,0,0,T20I   1835
11,3,0,Paul van Meekeren,Netherlands,6 25,0,Sri Lanka Vs Netherlands,0,4,25,2,1,T20I   1835
5,2,2,Bas de Leede,Netherlands,10 33,0,Sri Lanka Vs Netherlands,0,3,31,2,0,T20I   1835
3,2,1,Timm van der Gugten,Netherlands,10 33,0,Sri Lanka Vs Netherlands,0,3,31,1,0,T20I   1835
1,0,0,Dhananjaya de Silva,Sri Lanka,5 00,0,Sri Lanka Vs Netherlands,0,1,5,0,0,T20I   1835
14,2,1,Lahiru Kumara,Sri Lanka,7 00,0,Sri Lanka Vs Netherlands,0,4,28,1,1,T20I   1835
11,4,1,Binura Fernando,Sri Lanka,8 25,0,Sri Lanka Vs Netherlands,0,4,33,1,1,T20I   1835
12,1,2,Maheesh Theekshana,Sri Lanka,8 00,0,Sri Lanka Vs Netherlands,1,4,32,2,2,T20I   1835
11,3,0,Wanindu Hasaranga de Silva,Sri Lanka,7 00,0,Sri Lanka Vs Netherlands,0,4,28,3,0,T20I   1835
6,1,0,Chamika Karunaratne,Sri Lanka,5 50,0,Sri Lanka Vs Netherlands,0,2,11,0,1,T20I   1835
3,1,0,Dasun Shanaka,Sri Lanka,7 00,0,Sri Lanka Vs Netherlands,0,1,7,0,0,T20I   1835
10,0,0,Ruben Trumpelmann,Namibia,5 50,0,U A E  Vs Namibia,0,4,22,0,3,T20I   1836
12,2,1,David Wiese,Namibia,6 75,0,U A E  Vs Namibia,0,4,27,1,1,T20I   1836
11,1,1,Bernard Scholtz,Namibia,5 50,0,U A E  Vs Namibia,0,4,22,1,0,T20I   1836
11,2,3,JJ Smit,Namibia,9 75,0,U A E  Vs Namibia,0,4,39,0,0,T20I   1836
3,2,1,Jan Frylinck,Namibia,10 00,0,U A E  Vs Namibia,0,3,30,0,1,T20I   1836
1,1,0,Ben Shikongo,Namibia,8 00,0,U A E  Vs Namibia,0,1,8,1,0,T20I   1836
10,2,0,Basil Hameed,U A E ,5 66,0,U A E  Vs Namibia,0,3,17,2,0,T20I   1836
8,3,1,Junaid Siddique,U A E ,8 75,0,U A E  Vs Namibia,0,4,35,1,2,T20I   1836
15,1,0,Zahoor Khan,U A E ,5 00,0,U A E  Vs Namibia,2,4,20,2,2,T20I   1836
1,1,0,Ahmed Raza,U A E ,9 00,0,U A E  Vs Namibia,0,1,9,0,0,T20I   1836
8,2,2,Karthik Meiyappan,U A E ,8 50,0,U A E  Vs Namibia,0,4,34,1,0,T20I   1836
5,0,0,Aayan Afzal Khan,U A E ,3 50,0,U A E  Vs Namibia,0,2,7,0,0,T20I   1836
3,0,1,Muhammad Waseem,U A E ,8 00,0,U A E  Vs Namibia,0,2,16,1,0,T20I   1836
8,1,2,Josh Little,Ireland,7 75,0,West Indies Vs Ireland,0,4,31,0,1,T20I   1837
12,1,1,Mark Adair,Ireland,6 50,0,West Indies Vs Ireland,0,4,26,0,4,T20I   1837
9,3,1,Barry McCarthy,Ireland,8 25,0,West Indies Vs Ireland,0,4,33,1,1,T20I   1837
2,4,1,Curtis Campher,Ireland,14 00,0,West Indies Vs Ireland,0,2,28,0,0,T20I   1837
4,1,0,Simi Singh,Ireland,5 50,0,West Indies Vs Ireland,0,2,11,1,0,T20I   1837
12,1,0,Gareth Delany,Ireland,4 00,0,West Indies Vs Ireland,0,4,16,3,1,T20I   1837
11,2,2,Obed McCoy,West Indies,7 71,0,West Indies Vs Ireland,0,3 3,27,0,0,T20I   1837
5,2,2,Akeal Hosein,West Indies,9 50,0,West Indies Vs Ireland,0,4,38,1,0,T20I   1837
9,3,2,Alzarri Joseph,West Indies,9 75,0,West Indies Vs Ireland,0,4,39,0,1,T20I   1837
4,3,1,Odean Smith,West Indies,11 50,0,West Indies Vs Ireland,1,2,23,0,0,T20I   1837
7,1,0,Jason Holder,West Indies,5 75,0,West Indies Vs Ireland,0,4,23,0,0,T20I   1837
14,1,0,Tendai Chatara,Zimbabwe,3 50,1,Scotland Vs Zimbabwe,0,4,14,2,0,T20I   1838
12,4,0,Richard Ngarava,Zimbabwe,7 00,0,Scotland Vs Zimbabwe,1,4,28,2,1,T20I   1838
9,5,0,Blessing Muzarabani,Zimbabwe,8 50,0,Scotland Vs Zimbabwe,2,4,34,1,0,T20I   1838
4,1,0,Sean Williams,Zimbabwe,6 33,0,Scotland Vs Zimbabwe,0,3,19,0,0,T20I   1838
10,0,0,Sikandar Raza,Zimbabwe,5 00,0,Scotland Vs Zimbabwe,0,4,20,1,2,T20I   1838
1,0,0,Wessly Madhevere,Zimbabwe,7 00,0,Scotland Vs Zimbabwe,0,1,7,0,0,T20I   1838
12,4,0,Brad Wheal,Scotland,6 50,0,Scotland Vs Zimbabwe,0,4,26,1,0,T20I   1838
8,1,0,Josh Davey,Scotland,5 33,0,Scotland Vs Zimbabwe,1,3,16,2,0,T20I   1838
4,3,0,Safyaan Sharif,Scotland,9 20,0,Scotland Vs Zimbabwe,1,2 3,23,0,0,T20I   1838
9,1,0,Mark Watt,Scotland,4 75,0,Scotland Vs Zimbabwe,0,4,19,1,0,T20I   1838
4,2,1,Michael Leask,Scotland,9 00,0,Scotland Vs Zimbabwe,0,4,36,1,0,T20I   1838
0,0,1,Calum MacLeod,Scotland,11 00,0,Scotland Vs Zimbabwe,0,1,11,0,0,T20I   1838
5,3,1,Mitchell Starc,Australia,9 00,0,New Zealand Vs Australia,0,4,36,0,0,T20I   1839
8,5,1,Josh Hazlewood,Australia,10 25,0,New Zealand Vs Australia,0,4,41,2,1,T20I   1839
8,4,2,Pat Cummins,Australia,11 50,0,New Zealand Vs Australia,0,4,46,0,2,T20I   1839
3,1,2,Marcus Stoinis,Australia,9 50,0,New Zealand Vs Australia,0,4,38,0,1,T20I   1839
4,2,2,Adam Zampa,Australia,9 75,0,New Zealand Vs Australia,0,4,39,1,1,T20I   1839
13,2,1,Trent Boult,New Zealand,6 00,0,New Zealand Vs Australia,0,4,24,2,1,T20I   1839
10,1,0,Tim Southee,New Zealand,2 76,0,New Zealand Vs Australia,0,2 1,6,3,0,T20I   1839
10,2,2,Mitchell Santner,New Zealand,7 75,0,New Zealand Vs Australia,0,4,31,3,0,T20I   1839
9,2,1,Lockie Ferguson,New Zealand,6 66,0,New Zealand Vs Australia,0,3,20,1,0,T20I   1839
8,2,1,Ish Sodhi,New Zealand,7 25,0,New Zealand Vs Australia,0,4,29,1,1,T20I   1839
14,2,0,Ben Stokes,England,4 75,0,Afghanistan Vs England,0,4,19,2,1,T20I   1840
15,2,1,Chris Woakes,England,6 00,0,Afghanistan Vs England,0,4,24,1,1,T20I   1840
14,2,1,Mark Wood,England,5 75,0,Afghanistan Vs England,0,4,23,2,0,T20I   1840
16,1,0,Sam Curran,England,2 72,0,Afghanistan Vs England,0,3 4,10,5,1,T20I   1840
4,1,1,Adil Rashid,England,8 00,0,Afghanistan Vs England,0,4,32,0,0,T20I   1840
15,2,1,Fazalhaq Farooqi,Afghanistan,6 00,0,Afghanistan Vs England,0,4,24,1,3,T20I   1840
2,1,0,Azmatullah Omarzai,Afghanistan,9 42,0,Afghanistan Vs England,0,1 1,11,0,3,T20I   1840
10,1,0,Mujeeb Ur Rahman,Afghanistan,5 50,0,Afghanistan Vs England,0,4,22,1,0,T20I   1840
10,0,0,Rashid Khan,Afghanistan,4 25,0,Afghanistan Vs England,0,4,17,1,0,T20I   1840
